NAME	cluster dominant cell type	X	Y
TYPE	group	numeric	numeric
96	CD8+ CXCR4+ T cell	-3.0975627112533295	1.8176450041314203
97	CD8+ CXCR4+ T cell	-3.3439379270044993	2.4708249266588753
100	CD8+ CXCR4+ T cell	-3.2058484199715203	2.236994535985518
101	CD4+ T cell	2.0093753653576476	-1.610345243557587
102	CD4+ T cell	2.611096155782401	-1.7051829067103157
103	CD4+ T cell	1.849187365807288	-1.933325831476523
104	CD8+ GNLY+ T cell	-5.555894945317368	0.7612870290901586
105	CD16+ NK cell	-5.997057347869448	-1.4165714999420043
106	CD8+ CXCR4+ T cell	-4.234749467749806	3.0175289839300006
107	CD4+ T cell	4.726209619394332	-3.307183916587739
109	CD16+ NK cell	-7.318569406893005	-1.1388924781158878
110	CD8+ CXCR4+ T cell	-0.5905238060313809	1.654708359137114
111	CD4+ T cell	1.0797156673895645	-0.5141013105559771
112	CD8+ CXCR4+ T cell	-2.128771135468697	2.1807064647823524
113	CD4+ T cell	4.42526781469916	-2.9313369286988666
114	CD4+ T cell	4.620976373187103	-1.4029935881926545
115	CD8+ CXCR4+ T cell	-3.0333227888808887	2.595482382548816
116	CD4+ T cell	4.8252499690907085	-1.913036222261278
117	CD4+ T cell	2.4616179651547725	-3.3070822342821224
118	CD8+ PD1+ T cell	-0.4230591136448527	2.296629410789505
119	CD4+ T cell	4.892833153115733	1.3519967604484848
120	CD4+ T cell	2.1147318640555453	-2.912969369084771
121	CD4+ T cell	3.3358803620290214	-3.653466846935054
122	CD4+ T cell	3.5330046850758867	-4.214574504273837
123	CD4+ T cell	3.0608410966038484	-3.1059324693047548
124	CD4+ T cell	3.2495551790763644	-2.4808615826030724
125	CD4+ T cell	2.450647921447618	0.5079891135283164
126	CD8+ GNLY+ T cell	-4.725361917267658	-1.9436960564751564
128	CD4+ T cell	3.145421488461098	-3.7672922600108016
129	CD8+ CXCR4+ T cell	-0.021685982112245705	0.20829460793776508
130	CD8+ GNLY+ T cell	-5.879233767649655	-0.8698449562998374
